code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
PTA001	semistructured-interview	01:32:30	3	TOR001;TOR002;TOI001	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTA002	semistructured-interview	00:05:39	5	TOR001;TOR002;TOR003;TOI002;TOI003	italian	TO	fixed	yes	asymmetric	2019	no
PTA003	semistructured-interview	01:03:28	5	TOR001;TOR002;TOR003;TOI002;TOI003	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTA005	semistructured-interview	01:44:43	3	TOR001;TOR002;TOI005	italian	TO	fixed	yes	asymmetric	2019	yes
PTA006	semistructured-interview	01:05:12	3	TOR001;TOR002;TOI006	italian	TO	fixed	yes	asymmetric	2019	yes
PTA007	semistructured-interview	00:13:23	2	TOR001;TOI007	italian	TO	fixed	yes	asymmetric	2019	no
PTA012	semistructured-interview	00:30:28	3	TOR001;TOR002;TOI014	italian	TO	fixed	yes	asymmetric	2019	no
PTA013	semistructured-interview	00:44:45	4	TOR001;TOR002;TOI001;TOI015	italian	TO	fixed	yes	asymmetric	2019	no
PTA015	semistructured-interview	00:37:36	2	TOR006;TOI032	italian	TO	fixed	yes	asymmetric	2019	yes
PTA016	semistructured-interview	00:40:23	2	TOR006;TOI033	italian	TO	fixed	yes	asymmetric	2019	no
PTA017	semistructured-interview	00:32:12	2	TOR006;TOI034	italian	TO	fixed	yes	asymmetric	2019	no
PTA018	semistructured-interview	00:57:27	2	TOR006;TOI031	italian	TO	fixed	yes	asymmetric	2019	no
PTB001	semistructured-interview	01:17:52	3	TOR005;TOI022;TOI023	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTB002	semistructured-interview	01:27:40	3	TOR004;TOI017;TOI018	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTB003	semistructured-interview	00:52:01	3	TOR004;TOI017;TOI018	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTB004	semistructured-interview	00:43:01	2	TOR004;TOI019	italian	TO	fixed	yes	asymmetric	2019	yes
PTB005	semistructured-interview	00:02:02	2	TOR004;TOI019	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTB007	semistructured-interview	01:28:07	2	TOR004;TOI021	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTB008	semistructured-interview	00:25:20	2	TOR005;TOI024	italian;dialect	TO	fixed	yes	asymmetric	2019	yes
PTB009	semistructured-interview	00:47:05	3	TOR001;TOR003;TOI035	italian;dialect	TO	fixed	yes	asymmetric	2019	yes
PTB014	semistructured-interview	01:05:48	4	TOR001;TOR002;TOI049;TOI050	italian;dialect	TO	fixed	yes	asymmetric	2019	yes
PTB015	semistructured-interview	00:50:58	3	TOR007;TOI051;TOI052	italian	TO	fixed	yes	asymmetric	2019	no
PTB018	semistructured-interview	00:54:46	2	TOR001;TOI056	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTB021	semistructured-interview	00:39:25	2	TOR009;TOI067	italian	TO	fixed	yes	asymmetric	2019	no
PTB022	semistructured-interview	00:33:31	3	TOR001;TOR002;TOI075	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTB024	semistructured-interview	00:23:23	3	TOR015;TOI109;TOI110	italian	TO	fixed	yes	asymmetric	2019	no
PTD001	semistructured-interview	00:51:20	2	TOR004;TOI020	italian;dialect	TO	fixed	yes	asymmetric	2019	yes
PTD003	semistructured-interview	00:32:04	2	TOR001;TOI048	italian	TO	fixed	yes	asymmetric	2019	no
PTD005	semistructured-interview	00:22:25	2	TOR004;TOI054	italian	TO	fixed	yes	asymmetric	2019	no
PTD007	semistructured-interview	00:39:12	2	TOR001;TOI041	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTD009	semistructured-interview	00:56:23	2	TOR001;TOI060	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTD011	semistructured-interview	00:27:23	2	TOR009;TOI066	italian	TO	fixed	yes	asymmetric	2019	yes
PTD019	semistructured-interview	00:54:47	3	TOR001;TOI010;TOI011	italian;dialect	TO	fixed	yes	asymmetric	2019	yes
PTD020	semistructured-interview	00:23:12	2	TOR001;TOI008	italian	TO	fixed	yes	asymmetric	2019	no
PTD021	semistructured-interview	01:31:29	4	TOR001;TOR002;TOI012;TOI013	italian	TO	fixed	yes	asymmetric	2019	yes
PTD022	semistructured-interview	00:13:11	2	TOR001;TOI009	italian	TO	fixed	yes	asymmetric	2019	no
PTB020	semistructured-interview	00:55:11	3	TOR009;TOI069;TOI070	italian;dialect	TO	fixed	yes	asymmetric	2019	yes
PTB023	semistructured-interview	00:47:59	2	TOR007;TOI113	italian	TO	fixed	yes	asymmetric	2019	no
PTD013	semistructured-interview	00:20:25	2	TOR010;TOI111	italian	TO	fixed	yes	asymmetric	2019	no
PTB025	semistructured-interview	01:09:45	4	TOR001;TOR002;TOI116;TOI117	italian;dialect	TO	fixed	yes	asymmetric	2019	no
PTD014	semistructured-interview	00:17:17	2	TOR010;TOI112	italian	TO	fixed	yes	asymmetric	2019	no
PTD006	semistructured-interview	01:06:38	2	TOR004;TOI055	italian	TO	fixed	yes	asymmetric	2019	no
PTD010	semistructured-interview	00:59:08	3	TOR001;TOI064;TOI065	italian	TO	fixed	yes	asymmetric	2019	no
