code	occupation	gender	conversations	birth-region	age-range	studenty-level
TO041	student	F	TOD2005	piemonte	21-25	university-degree-ongoing
TO042	student	M	TOD2006	piemonte	21-25	university-degree-ongoing
TO043	student	F	TOD2007	piemonte	21-25	university-degree-ongoing
TO044	student	F	TOD2008	piemonte	21-25	university-degree-ongoing
TO045	student	F	TOD2009	piemonte	21-25	university-degree-ongoing
TO046	student	M	TOD2010	piemonte	21-25	university-degree-ongoing
TO047	student	F	TOD2011	sicilia	21-25	university-degree-ongoing
TO055	student	F	TOD2005;TOD2007;TOD2008;TOD2009;TOD2010;TOD2011	piemonte	21-25	university-degree-ongoing
TO056	student	F	TOD2012	sicilia	31-35	university-degree-ongoing
TO057	student	F	TOD2013	calabria	26-30	university-degree-ongoing
TO058	student	F	TOD2013	lombardia	21-25	university-degree-ongoing
TO059	student	F	TOD2014	umbria	21-25	university-degree-ongoing
TO060	student	F	TOD2014	marche	21-25	university-degree-ongoing
TO071	student	M	TOD2012;TOD2013;TOD2014;TOD2015;TOD2016	abruzzo	31-35	university-degree-ongoing
TO073	student	F	TOD2015	piemonte	21-25	university-degree-ongoing
TO080	student	F	TOD2016	lombardia	21-25	university-degree-ongoing
TO081	student	F	TOD2002	piemonte	21-25	university-degree-ongoing
TO082	student	F	TOD2001	piemonte	21-25	university-degree-ongoing
TO083	student	F	TOD2003	liguria	21-25	university-degree-ongoing
TO084	student	F	TOD2004	piemonte	21-25	university-degree-ongoing
TO999	intellectual	M	TOD2001;TOD2002;TOD2003;TOD2004;TOD2006	piemonte	26-30	phd
TOI001	laborer	M	PTA013;PTA001	piemonte	26-30	technical-vocational-diploma
TOI002	laborer	M	PTA002;PTA003	piemonte	26-30	technical-vocational-diploma
TOI003	laborer	M	PTA002;PTA003	piemonte	26-30	technical-vocational-diploma
TOI005	laborer	M	PTA005	piemonte	26-30	middle-school
TOI006	retail	M	PTA006	piemonte	26-30	technical-vocational-diploma
TOI007	retail	M	PTA007	piemonte	21-25	technical-vocational-diploma
TOI008	retail	M	PTD020	piemonte	31-35	liceo-diploma
TOI009	retail	M	PTD022	piemonte	31-35	technical-vocational-diploma
TOI010	retail	M	PTD019	piemonte	36-40	liceo-diploma
TOI011	retail	M	PTD019	lombardia	31-35	technical-vocational-diploma
