token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOI001	0	0	0	per	per	_	_	_	_	_	linguistic	_	none	_	Begin=0.04	_	_	_	_
0-1	TOI001	0	0	1	disturbarvi	disturbarvi	_	_	_	_	_	linguistic	_	none	_	End=0.87	_	_	_	_
1-0	TOR001	1	1	0	ma:	ma	_	_	_	_	_	linguistic	_	none	_	Begin=1.25	1x1	_	_	_
1-1	TOR001	1	1	1	io:	io	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
1-2	TOR001	1	1	2	cioè	cioè	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	TOR001	1	1	3	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	TOR001	1	1	4	me:	me	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
1-5	TOR001	1	1	5	figurati	figurati	_	_	_	_	_	linguistic	_	none	_	End=3.44	_	_	_	_
2-0	TOI001	2	2	0	[sto	sto	_	_	_	_	_	linguistic	_	none	_	Begin=4.83	_	_	_	0-3(0)
2-1	TOI001	2	2	1	tranqui]llo?	tranquillo	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=5.53	_	_	_	0-7(0)
3-0	TOR001	3	3	0	[okay]	okay	_	_	_	_	_	linguistic	_	none	_	Begin=4.94|End=5.4	_	_	_	0-4(0)
4-0	TOR002	4	4	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=5.97|End=6.35	_	_	_	_
5-0	TOR001	5	5	0	ho	ho	_	_	_	_	_	linguistic	_	none	_	Begin=7.901	_	_	_	_
5-1	TOR001	5	5	1	xxxxxxx	xxxxxxx	_	_	_	_	_	unknown	_	none	Syllables=7	End=9.403	_	_	_	_
6-0	TOI001	6	6	0	scopone.	scopone	_	_	_	_	_	linguistic	_	none	Intonation=Falling	Begin=9.403|End=9.89	_	_	_	_
7-0	TOR001	7	7	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=9.891|End=10.773	_	_	_	_
8-0	TOR002	8	8	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=9.891|End=10.773	_	_	_	_
9-0	TOI001	9	9	0	a	a	_	_	_	_	_	linguistic	_	none	_	Begin=10.155	_	_	_	_
9-1	TOI001	9	9	1	scopone	scopone	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	TOI001	9	9	2	ed	ed	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-3	TOI001	9	9	3	esco	esco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-4	TOI001	9	9	4	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-5	TOI001	9	9	5	sette	sette	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-6	TOI001	9	9	6	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-7	TOI001	9	9	7	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-8	TOI001	9	9	8	carta	carta	_	_	_	_	_	linguistic	_	none	_	End=12.438	_	_	_	_
10-0	TOR001	10	10	0	così?	così	_	_	_	_	_	linguistic	_	none	Intonation=Rising	Begin=12.595|End=12.965	_	_	_	_
11-0	TOI001	11	11	0	[a	a	_	_	_	_	_	linguistic	_	none	_	Begin=13.588	_	_	_	0-1(1)
11-1	TOI001	11	11	1	sfregio]	sfregio	_	_	_	_	_	linguistic	_	none	_	End=13.982	_	_	_	0-7(1)
12-0	TOR001	12	12	0	[bene]	bene	_	_	_	_	_	linguistic	_	none	_	Begin=13.605|End=13.955	_	_	_	0-4(1)
13-0	TOR001	13	13	0	va	va	_	_	_	_	_	linguistic	_	none	_	Begin=14.065	_	_	_	_
13-1	TOR001	13	13	1	bene	bene	_	_	_	_	_	linguistic	_	none	_	End=14.525	_	_	_	_
14-0	TOR001	14	14	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=14.74	_	_	_	_
14-1	TOR001	14	14	1	okay	okay	_	_	_	_	_	linguistic	_	none	_	End=15.16	_	_	_	_
15-0	TOR002	15	15	0	se	se	_	_	_	_	_	linguistic	_	none	_	Begin=15.23	_	_	_	_
15-1	TOR002	15	15	1	devi	devi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-2	TOR002	15	15	2	fare	fare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-3	TOR002	15	15	3	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-4	TOR002	15	15	4	ignorantate	ignorantate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-5	TOR002	15	15	5	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-6	TOR002	15	15	6	faccio	faccio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-7	TOR002	15	15	7	anch'	anch'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
15-8	TOR002	15	15	8	io	io	_	_	_	_	_	linguistic	_	none	_	End=17.39	_	_	_	_
16-0	TOR002	16	16	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=17.4|End=18.841	_	_	_	_
17-0	TOR001	17	17	0	da::i	dai	_	_	_	_	_	linguistic	_	none	_	Begin=17.405|End=17.945	1x2	_	_	_
18-0	TOI001	18	18	0	quanti	quanti	_	_	_	_	_	linguistic	_	none	_	Begin=19.0	_	_	_	_
18-1	TOI001	18	18	1	ne	ne	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-2	TOI001	18	18	2	vuoi?	vuoi	_	_	_	_	_	linguistic	_	none	Intonation=Rising|PauseAfter=Yes	_	_	_	_	_
18-3	TOI001	18	18	3	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
18-4	TOI001	18	18	4	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
18-5	TOI001	18	18	5	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-6	TOI001	18	18	6	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-7	TOI001	18	18	7	mazzo	mazzo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-8	TOI001	18	18	8	pieno	pieno	_	_	_	_	_	linguistic	_	none	_	End=20.91	_	_	_	_
19-0	TOR001	19	19	0	che	che	_	_	_	_	_	linguistic	_	none	_	Begin=21.79	_	_	_	_
19-1	TOR001	19	19	1	lavoro	lavoro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-2	TOR001	19	19	2	fai?	fai	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=22.44	_	_	_	_
20-0	TOI015	20	20	0	magazziniere	magazziniere	_	_	_	_	_	linguistic	_	none	_	Begin=22.83|End=23.5	_	_	_	_
21-0	TOR001	21	21	0	okay	okay	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=23.79	_	_	_	_
21-1	TOR001	21	21	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
21-2	TOR001	21	21	2	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-3	TOR001	21	21	3	quanto	quanto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-4	TOR001	21	21	4	tempo?	tempo	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=25.2	_	_	_	_
22-0	TOI015	22	22	0	da::	da	_	_	_	_	_	linguistic	_	none	_	Begin=26.255	1x2	_	_	_
