token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR005	0	0	0	avvi:o	avvio	_	_	_	_	_	linguistic	_	none	_	Begin=0.0|End=1.004	3x1	_	_	_
1-0	TOR005	1	1	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=1.101|End=1.807	_	_	_	_
2-0	TOR005	2	2	0	ehm:	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=1.807|End=2.924	2x1	_	_	_
3-0	TOR005	3	3	0	signora	signora	_	_	_	_	_	linguistic	_	none	_	Begin=3.203	_	_	_	_
3-1	TOR005	3	3	1	margherita	margherita	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	TOR005	3	3	2	erica	erica	_	_	_	_	_	linguistic	_	none	_	End=4.554	_	_	_	_
4-0	TOR005	4	4	0	[giusto]?	giusto	_	_	_	_	_	linguistic	_	none	Intonation=Rising	Begin=4.554|End=5.229	_	_	_	0-6(0)
5-0	TOI024	5	5	0	[sì]	sì	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=4.554	_	_	_	0-2(0)
5-1	TOI024	5	5	1	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
5-2	TOI024	5	5	2	io::	io	_	_	_	_	_	linguistic	_	none	_	_	1x2	_	_	_
5-3	TOI024	5	5	3	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	TOI024	5	5	4	chiamo	chiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	TOI024	5	5	5	margherita	margherita	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-6	TOI024	5	5	6	erica.	erica	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=6.837	_	_	_	_
6-0	TOR005	6	6	0	mi	mi	_	_	_	_	_	linguistic	_	none	_	Begin=6.894	_	_	_	_
6-1	TOR005	6	6	1	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	TOR005	6	6	2	ripete	ripete	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	TOR005	6	6	3	[il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
6-4	TOR005	6	6	4	cognome]?	cognome	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=8.492	_	_	_	0-7(1)
