token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO055	0	0	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=0.0	_	_	_	_
0-1	TO055	0	0	1	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	TO055	0	0	2	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	TO055	0	0	3	studiato	studiato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	TO055	0	0	4	te?	te	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=1.422	_	_	_	_
1-0	TO044	1	1	0	ho	ho	_	_	_	_	_	linguistic	_	none	_	Begin=1.72	_	_	_	_
1-1	TO044	1	1	1	studiato,	studiato	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=2.61	_	_	_	_
2-0	TO044	2	2	0	lingue	lingue	_	_	_	_	_	linguistic	_	none	_	Begin=2.845	_	_	_	_
2-1	TO044	2	2	1	all'	all'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
2-2	TO044	2	2	2	università	università	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	TO044	2	2	3	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	TO044	2	2	4	torino	torino	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	TO044	2	2	5	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	TO044	2	2	6	studiato,	studiato	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=5.58	_	_	_	_
3-0	TO044	3	3	0	e:h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=5.9	0x1	_	_	_
3-1	TO044	3	3	1	inglese	inglese	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	TO044	3	3	2	spagnolo	spagnolo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	TO044	3	3	3	e:	e	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
3-4	TO044	3	3	4	francese.	francese	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=8.65	_	_	_	_
4-0	TO055	4	4	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=8.65	_	_	_	_
4-1	TO055	4	4	1	ma	ma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	TO055	4	4	2	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	TO055	4	4	3	finito	finito	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	TO055	4	4	4	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	TO055	4	4	5	al	al	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	TO055	4	4	6	terzo	terzo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	TO055	4	4	7	anno:,	anno	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=11.305	3x1	_	_	_
5-0	TO044	5	5	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=11.305	_	_	_	_
5-1	TO044	5	5	1	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	TO044	5	5	2	ho:	ho	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
5-3	TO044	5	5	3	finito	finito	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	TO044	5	5	4	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	TO044	5	5	5	poco	poco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-6	TO044	5	5	6	adesso:	adesso	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
5-7	TO044	5	5	7	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-8	TO044	5	5	8	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-9	TO044	5	5	9	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-10	TO044	5	5	10	mio	mio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-11	TO044	5	5	11	anno	anno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-12	TO044	5	5	12	sabbatico	sabbatico	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-13	TO044	5	5	13	poi	poi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-14	TO044	5	5	14	inizierò	inizierò	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-15	TO044	5	5	15	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-16	TO044	5	5	16	magistrale.	magistrale	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=16.8	_	_	_	_
6-0	TO055	6	6	0	e::h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=16.9	0x2	_	_	_
6-1	TO055	6	6	1	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	TO055	6	6	2	farai	farai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	TO055	6	6	3	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-4	TO055	6	6	4	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	TO055	6	6	5	anno?	anno	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=18.75	_	_	_	_
7-0	TO044	7	7	0	e::h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=18.795	0x2	_	_	_
7-1	TO044	7	7	1	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	TO044	7	7	2	andata	andata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	TO044	7	7	3	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	TO044	7	7	4	boston.	boston	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=21.13	_	_	_	_
8-0	TO055	8	8	0	okay.	okay	_	_	_	_	_	linguistic	_	none	Intonation=Falling	Begin=21.379|End=21.96	_	_	_	_
9-0	TO044	9	9	0	per	per	_	_	_	_	_	linguistic	_	none	_	Begin=22.189	_	_	_	_
9-1	TO044	9	9	1	quattro	quattro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	TO044	9	9	2	mesi	mesi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-3	TO044	9	9	3	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-4	TO044	9	9	4	ade:sso:	adesso	_	_	_	_	_	linguistic	_	none	_	_	2x1,5x1	_	_	_
9-5	TO044	9	9	5	sto	sto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-6	TO044	9	9	6	cercando	cercando	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-7	TO044	9	9	7	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-8	TO044	9	9	8	iscrivermi	iscrivermi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-9	TO044	9	9	9	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-10	TO044	9	9	10	un'	un'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
9-11	TO044	9	9	11	università,	università	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=26.6	_	_	_	_
10-0	TO044	10	10	0	a	a	_	_	_	_	_	linguistic	_	none	_	Begin=27.094	_	_	_	_
10-1	TO044	10	10	1	madrid	madrid	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-2	TO044	10	10	2	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-3	TO044	10	10	3	vedere	vedere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-4	TO044	10	10	4	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-5	TO044	10	10	5	riesco	riesco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-6	TO044	10	10	6	ad	ad	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-7	TO044	10	10	7	essere	essere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-8	TO044	10	10	8	ammessa	ammessa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-9	TO044	10	10	9	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-10	TO044	10	10	10	°xx	xx	_	_	_	_	_	unknown	_	none	Volume=low|Syllables=2	_	_	_	_	_
10-11	TO044	10	10	11	ini[ziare	iniziare	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	3-8(0)
10-12	TO044	10	10	12	xx.°]	xx	_	_	_	_	_	linguistic	_	none	Intonation=Falling|Volume=low	End=31.632	_	_	_	0-2(0)
11-0	TO055	11	11	0	[e	e	_	_	_	_	_	linguistic	_	none	_	Begin=30.973	_	_	_	0-1(0)
11-1	TO055	11	11	1	boston]	boston	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(0)
11-2	TO055	11	11	2	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	TO055	11	11	3	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	TO055	11	11	4	fatto?	fatto	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=32.21	_	_	_	_
12-0	TO044	12	12	0	e::h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=32.771	0x2	_	_	_
12-1	TO044	12	12	1	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-2	TO044	12	12	2	studiato:	studiato	_	_	_	_	_	linguistic	_	none	ProsodicLink=Yes	_	7x1	_	_	_
12-3	TO044	12	12	3	mh	mh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-4	TO044	12	12	4	son	son	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-5	TO044	12	12	5	stata	stata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-6	TO044	12	12	6	lì,	lì	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=35.31	_	_	_	_
13-0	TO044	13	13	0	per	per	_	_	_	_	_	linguistic	_	none	_	Begin=35.539	_	_	_	_
13-1	TO044	13	13	1	due	due	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-2	TO044	13	13	2	volte.	volte	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=36.539	_	_	_	_
14-0	TO055	14	14	0	ok[ay].	okay	_	_	_	_	_	linguistic	_	none	Intonation=Falling	Begin=36.839|End=37.4	_	_	_	2-4(1)
15-0	TO044	15	15	0	[e]	e	_	_	_	_	_	linguistic	_	none	_	Begin=37.205	_	_	_	0-1(1)
15-1	TO044	15	15	1	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-2	TO044	15	15	2	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-3	TO044	15	15	3	volta	volta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-4	TO044	15	15	4	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-5	TO044	15	15	5	studiato	studiato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-6	TO044	15	15	6	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-7	TO044	15	15	7	prendere,	prendere	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=40.22	_	_	_	_
16-0	TO044	16	16	0	e::h	eh	_	_	_	_	_	linguistic	_	none	ProsodicLink=Yes	Begin=40.601	0x2	_	_	_
16-1	TO044	16	16	1	mh,	mh	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=41.52	_	_	_	_
17-0	TO044	17	17	0	un	un	_	_	_	_	_	linguistic	_	none	_	Begin=41.677	_	_	_	_
17-1	TO044	17	17	1	esame	esame	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-2	TO044	17	17	2	internazionale	internazionale	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-3	TO044	17	17	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-4	TO044	17	17	4	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-5	TO044	17	17	5	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
17-6	TO044	17	17	6	iel[ts].	ielts	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=44.22	_	_	_	2-5(2)
18-0	TO055	18	18	0	[o]kay.	okay	_	_	_	_	_	linguistic	_	none	Intonation=Falling	Begin=44.078|End=44.658	_	_	_	0-1(2)
19-0	TO044	19	19	0	e::h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=44.788	0x2	_	_	_
19-1	TO044	19	19	1	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-2	TO044	19	19	2	poi	poi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-3	TO044	19	19	3	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
19-4	TO044	19	19	4	ultimo	ultimo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-5	TO044	19	19	5	giorno	giorno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-6	TO044	19	19	6	lì	lì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-7	TO044	19	19	7	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-8	TO044	19	19	8	deciso	deciso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-9	TO044	19	19	9	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-10	TO044	19	19	10	volevo	volevo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-11	TO044	19	19	11	tornare	tornare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-12	TO044	19	19	12	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-13	TO044	19	19	13	c~	c~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes|PauseAfter=Yes	_	_	_	_	_
19-14	TO044	19	19	14	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
19-15	TO044	19	19	15	tornare::,	tornare	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=49.26	6x2	_	_	_
20-0	TO044	20	20	0	per	per	_	_	_	_	_	linguistic	_	none	_	Begin=50.294	_	_	_	_
20-1	TO044	20	20	1	studiare	studiare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-2	TO044	20	20	2	ancora	ancora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-3	TO044	20	20	3	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-4	TO044	20	20	4	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-5	TO044	20	20	5	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-6	TO044	20	20	6	ritorna~	ritorna~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
20-7	TO044	20	20	7	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-8	TO044	20	20	8	tornata	tornata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-9	TO044	20	20	9	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-10	TO044	20	20	10	italia	italia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-11	TO044	20	20	11	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-12	TO044	20	20	12	poi,	poi	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=54.23	_	_	_	_
21-0	TO044	21	21	0	ho	ho	_	_	_	_	_	linguistic	_	none	_	Begin=54.426	_	_	_	_
21-1	TO044	21	21	1	rifatto	rifatto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-2	TO044	21	21	2	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-3	TO044	21	21	3	fogli	fogli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-4	TO044	21	21	4	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-5	TO044	21	21	5	son	son	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-6	TO044	21	21	6	ritornata	ritornata	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
21-7	TO044	21	21	7	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
21-8	TO044	21	21	8	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
