token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO055	0	ciao	ciao	linguistic	none	_	Begin=1.366	_	_	_	_
0-1	TO055	0	eli,	eli	linguistic	none	Intonation=weakly_rising	End=1.884	_	_	_	_
2-0	TO047	2	ciao.	ciao	linguistic	none	Intonation=falling	Begin=2.315|End=2.661	_	_	_	_
3-0	TO055	3	cosa	cosa	linguistic	none	_	Begin=3.074	_	_	_	_
3-1	TO055	3	studi	studi	linguistic	none	_	_	_	_	_	_
3-2	TO055	3	te	te	linguistic	none	_	End=3.893	_	_	_	_
4-0	TO047	4	allora	allora	linguistic	none	_	Begin=4.79	_	_	_	_
4-1	TO047	4	io::,	io	linguistic	none	Intonation=weakly_rising	_	1x2	_	_	_
4-2	TO047	4	studio:::	studio	linguistic	none	_	_	5x3	_	_	_
4-3	TO047	4	al	al	linguistic	none	_	_	_	_	_	_
4-4	TO047	4	politecnico	politecnico	linguistic	none	_	_	_	_	_	_
4-5	TO047	4	di	di	linguistic	none	_	_	_	_	_	_
4-6	TO047	4	torino,	torino	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
4-7	TO047	4	e:::	e	linguistic	none	_	_	0x3	_	_	_
4-8	TO047	4	m::h	mh	linguistic	none	_	_	0x2	_	_	_
4-9	TO047	4	seguo	seguo	linguistic	none	_	_	_	_	_	_
4-10	TO047	4	il	il	linguistic	none	_	_	_	_	_	_
4-11	TO047	4	corso	corso	linguistic	none	_	_	_	_	_	_
4-12	TO047	4	di::	di	linguistic	none	_	_	1x2	_	_	_
4-13	TO047	4	design	design	linguistic	none	_	_	_	_	_	_
4-14	TO047	4	e	e	linguistic	none	_	_	_	_	_	_
4-15	TO047	4	comunicazione	comunicazione	linguistic	none	_	_	_	_	_	_
4-16	TO047	4	visiva,	visiva	linguistic	none	Intonation=weakly_rising	End=11.715	_	_	_	_
5-0	TO047	5	che	che	linguistic	none	ProsodicLink=Yes	Begin=12.166	_	_	_	_
5-1	TO047	5	è:	è	linguistic	none	ProsodicLink=Yes	_	0x1	_	_	_
5-2	TO047	5	un	un	linguistic	none	_	_	_	_	_	_
5-3	TO047	5	corso::	corso	linguistic	none	_	_	4x2	_	_	_
5-4	TO047	5	della	della	linguistic	none	_	_	_	_	_	_
5-5	TO047	5	triennale:::	triennale	linguistic	none	_	_	8x3	_	_	_
5-6	TO047	5	al	al	linguistic	none	_	_	_	_	_	_
5-7	TO047	5	politecnico:,	politecnico	linguistic	none	Intonation=weakly_rising	_	10x1	_	_	_
5-8	TO047	5	della	della	linguistic	none	_	_	_	_	_	_
5-9	TO047	5	sezione	sezione	linguistic	none	_	_	_	_	_	_
5-10	TO047	5	di	di	linguistic	none	_	_	_	_	_	_
5-11	TO047	5	architettura,	architettura	linguistic	none	Intonation=weakly_rising	End=18.61	_	_	_	_
6-0	TO047	6	perché	perché	linguistic	none	_	Begin=19.047	_	_	_	_
6-1	TO047	6	architettura	architettura	linguistic	none	ProsodicLink=Yes	_	_	_	_	_
6-2	TO047	6	ha::	ha	linguistic	none	_	_	1x2	_	_	_
6-3	TO047	6	tre	tre	linguistic	none	_	_	_	_	_	_
6-4	TO047	6	indirizzi,	indirizzi	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
6-5	TO047	6	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
6-6	TO047	6	uno	uno	linguistic	none	_	_	_	_	_	_
6-7	TO047	6	è:	è	linguistic	none	_	_	0x1	_	_	_
6-8	TO047	6	architettura	architettura	linguistic	none	_	_	_	_	_	_
6-9	TO047	6	normale,	normale	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
6-10	TO047	6	l'	l'	linguistic	none	Truncated=Yes	_	_	_	_	_
6-11	TO047	6	altro	altro	linguistic	none	_	_	_	_	_	_
6-12	TO047	6	è	è	linguistic	none	_	_	_	_	_	_
6-13	TO047	6	di	di	linguistic	none	_	_	_	_	_	_
6-14	TO047	6	urbanistica,	urbanistica	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
6-15	TO047	6	e	e	linguistic	none	_	_	_	_	_	_
6-16	TO047	6	poi	poi	linguistic	none	_	_	_	_	_	_
6-17	TO047	6	c'	c'	linguistic	none	Truncated=Yes	_	_	_	_	_
6-18	TO047	6	è	è	linguistic	none	_	_	_	_	_	_
6-19	TO047	6	questo	questo	linguistic	none	_	_	_	_	_	_
6-20	TO047	6	che	che	linguistic	none	_	_	_	_	_	_
6-21	TO047	6	è	è	linguistic	none	_	_	_	_	_	_
6-22	TO047	6	di	di	linguistic	none	_	_	_	_	_	_
6-23	TO047	6	design,	design	linguistic	none	Intonation=weakly_rising	End=26.29	_	_	_	_
7-0	TO047	7	e:::	e	linguistic	none	_	Begin=27.15	0x3	_	_	_
